gene_symbol,module,P2A1,P2A2,P2A3,F1A3,F1A4,F351,F352,F451,F452,F453
SETX,R-loop processing,0.5170480034662702,0.08153241835467907,1.4159430487981945,-1.3767038709964972,-1.7660835080114947,0.44941903888285234,-0.5310498345629237,1.098690488419504,-0.013170075177043855,0.12437429082643266
DDX5,R-loop processing,-1.1572360525260401,-0.6121435817693546,2.1039513347816565,-0.20118339366730906,-0.665035579983274,0.3095768802267919,1.3109701148557433,-0.6864440946069925,-0.2721341129454338,-0.13032151436576106
DDX21,R-loop processing,-0.6297640942826488,-0.31813611597620045,2.0626146112693373,-1.6113603649690627,-1.013464744556845,0.2928748576426124,0.33715362598893955,0.6165484460172248,0.2021561146189964,0.061377664247654166
AQR,R-loop processing,0.42279587124982954,0.0894824523278414,1.9131373464402206,-1.2023481655019395,-1.667179173340966,0.3165845857911328,-0.33744907902446686,0.7545616142678081,-0.371313973276246,0.08172852106689191
CCNE1,Cell cycle / RS,-2.3572784608988053,0.3012620427758339,1.3256654523021565,0.4915148553560763,0.08206937416443053,0.8128562770239038,-0.2183563519065803,-0.7288569452842887,0.3254848085845154,-0.03436105211728729
CDK2,Cell cycle / RS,1.0535492328167928,0.9406535768140384,0.7478038415086138,0.9725354087085731,-1.4992914526795529,0.6700159838664121,-1.3592368610869292,-0.35181730442084114,-0.32000585070968546,-0.8542065748171505
CDC6,Cell cycle / RS,-0.9712284722676092,-0.5772561704173548,0.41525622435190124,-1.7345153938022428,-0.7289576931002097,0.6335275426102339,1.5529653690009917,-0.057873815016111,0.4920815749029268,0.9760008337374928
MCM2,Cell cycle / RS,0.08302048248516511,1.1935867228725945,1.1954177721474002,1.0767901571125702,0.7771189174252066,-0.9336156474203459,-0.4636713077863857,-1.5114829735168545,-0.6904614102603033,-0.7267027130589575
MCM4,Cell cycle / RS,0.33720086398771765,1.3987397857361448,1.3357712965308566,0.2626553664912153,-0.8020514272735209,0.9194012957271651,-1.525254743143547,-0.6804606246300197,-0.5174651220654878,-0.7285366913602115
MCM6,Cell cycle / RS,0.2308638027424464,1.0922734513302585,1.8364834280919908,0.675994636071732,-0.2665658774732205,0.2454508933644321,-0.748395217627977,-0.7962236029930692,-1.2408853270495641,-1.0289961864570039
CDC45,Cell cycle / RS,-1.0550434691375805,-1.5775492541338325,1.0765115528632279,0.3630399233641207,0.7906383376121804,0.7936689215162209,1.0254363164915956,-1.3397487967975061,-0.07797221498163875,0.0010186832032124074
PCNA,Cell cycle / RS,-0.33358178272375044,0.06396666225591856,0.1964635127571047,1.119838596357213,1.9284566749471626,0.04487657810959301,0.0064447125997296375,-1.7469969257798839,-0.6242905496835854,-0.6551774788393924
RRM1,Cell cycle / RS,0.6697632425911985,0.9269982314259432,1.8007169039300364,0.6371789407385132,0.19263830370213475,-0.5835164442815648,-0.6775482335089851,-1.406482292735248,-0.7016433429862973,-0.8581053088757213
RRM2,Cell cycle / RS,-0.9937856226652731,-0.02029588929679872,1.0331292065275643,-0.383629674212477,-0.6228681273555065,2.3473980616852295,-0.7968531634799376,-0.3884325977059762,0.1341411099037495,-0.3088033034005103
TP53BP1,NHEJ / alt-EJ,0.5256630386628757,0.7736843402251466,0.8611469164971723,-0.7699710567263147,-2.2821402274046916,0.24714787929938772,-0.867738184395148,0.49039481732468865,0.45655378842766575,0.565258688089255
RIF1,NHEJ / alt-EJ,-0.631801309720095,-0.36478213072829707,0.9431068597878521,-0.9283609835437042,-2.0539433115768695,1.0419056167606122,0.44510468958456456,1.0297523046365051,0.1620206130977541,0.35699765170173653
MAD2L2,NHEJ / alt-EJ,-1.3098554037436878,-0.8213172478269029,-0.9816050950709287,-0.1869853977921785,-0.24917579689725836,0.047811474189898166,2.1137367189887404,-0.07420484554386467,0.7823248148364432,0.6792707788598394
XRCC5,NHEJ / alt-EJ,-1.4019858824631735,-0.5430778982661446,0.686660881201322,-1.4246073186821393,-1.1238167381615716,0.8556313713919311,0.932295415369401,0.5740978648927628,0.7440084316845725,0.7007938730331277
XRCC6,NHEJ / alt-EJ,-1.1964916130212226,0.5105602727592939,0.9401027018314032,-2.052438463792937,1.0179550785209406,0.0873376962512253,-0.2882937317434877,-0.3787495835788597,0.5900356087673491,0.7699820340060967
LIG4,NHEJ / alt-EJ,-1.4209929173949702,-0.7821677589130881,-0.5312350028324685,-0.23567265869427606,-0.9404398645129388,0.9432109776434044,1.4683538456359957,1.1573964935943402,-0.42218929275346395,0.7637361782274444
POLQ,NHEJ / alt-EJ,0.10626510720506632,0.4153017570613201,0.5558917919053354,-0.6128180150634793,-2.5455058085790596,0.5454828494912692,-0.081733922248119,1.0997817465445119,0.3061087888896272,0.21122570479353506
PRKDC,NHEJ / alt-EJ,0.8486151962807771,0.8932009113473613,1.7528332136501856,-0.5656001618962253,-1.7005055912301565,0.31868406505485947,-0.3730054791051215,-0.033890719257283965,-0.9613039311849397,-0.17902750365950768
AKT1,PI3K–AKT,-1.2853875569994007,-0.5878696414528091,-1.4118280245938526,-0.27297099768966554,-0.4890981448390472,0.11210253704978368,1.0670695429350507,0.2393707270717583,1.1880174483717127,1.440594110146531
PIK3CA,PI3K–AKT,-0.20855314383659398,0.4360712166026876,1.5484701136338972,-1.1372869962648513,-2.0182485856349004,0.5265791394285382,0.0659221693761068,0.8217355979295218,-0.1662681010717659,0.13157858983737838
PIK3R1,PI3K–AKT,0.20073334218051847,-0.04904066664151958,-0.3274178491962734,0.2815221128431759,1.8329540255061296,0.4522359646694531,-1.0587746112766088,0.9894371129295699,-0.7071791243187072,-1.614470306695744
MTOR,PI3K–AKT,-0.9217815851747323,-0.24666713614200597,0.2956986981741009,-1.2071309975018325,-1.780479009278787,0.6824049361653863,0.36023231018611135,1.1154037981424918,0.6434925065635292,1.05882647886575
PTEN,PI3K–AKT,-0.4642914894990953,-0.4642914894990953,-0.4642914894990953,2.2915255504704373,-0.4642914894990953,1.4228063655223255,-0.4642914894990953,-0.4642914894990953,-0.4642914894990953,-0.4642914894990953
